Age,Income,Credit_Score,Loan_Amount,Loan_Tenure_Years,Employment_Years,Num_Credit_Accounts,Num_Defaults_Past,Monthly_Debt_Payment,Marital_Status,Education,Default
56,26093,345,114996,5,8,6,2,7,Single,Master,1
69,33070,845,38933,24,7,9,2,2525,Married,PhD,1
46,50777,377,29951,9,32,6,1,3423,Married,Bachelor,1
32,71958,372,37413,27,5,9,2,2019,Single,Bachelor,1
60,97074,548,170873,3,38,4,1,4590,Married,PhD,1
25,25729,346,191691,28,3,8,2,4282,Married,Bachelor,1
78,191089,420,431129,10,12,9,4,3667,Divorced,PhD,1
38,173823,513,379717,19,1,4,4,3671,Single,PhD,0
56,120864,538,438816,3,4,5,1,2801,Single,Master,1
75,145858,355,193847,29,26,8,4,85,Single,High School,1
36,120510,649,226888,29,31,6,1,3115,Single,PhD,0
40,69748,406,266044,22,20,7,4,4232,Single,Master,1
28,20801,347,226165,15,7,3,4,2468,Married,High School,1
28,165262,636,248662,1,37,7,1,3619,Divorced,Bachelor,0
41,195761,325,171472,7,7,8,3,1636,Single,High School,1
70,197065,556,402710,12,2,6,4,3583,Divorced,PhD,0
53,44592,307,216760,17,2,9,2,4009,Divorced,PhD,1
57,25647,552,127744,21,21,6,3,3326,Married,PhD,1
41,154788,602,356575,26,5,9,1,2218,Single,PhD,0
20,125627,355,210763,29,1,4,3,2217,Married,PhD,1
39,85316,825,495635,24,22,8,0,4967,Single,Master,1
70,17368,773,48001,20,1,4,0,2369,Married,PhD,1
19,92575,327,72364,5,37,2,4,3638,Divorced,Master,1
41,21655,377,392132,4,16,9,4,2503,Single,Bachelor,1
61,85031,515,312172,28,34,5,2,943,Divorced,PhD,1
47,102922,685,243506,12,33,4,3,2837,Divorced,PhD,1
55,139046,664,233731,20,22,2,0,2660,Married,High School,0
19,159475,825,435789,28,29,1,4,2936,Single,Bachelor,1
77,47097,611,136878,24,7,7,3,4444,Divorced,PhD,1
38,157038,306,391487,18,21,6,4,3947,Married,PhD,1
50,139862,302,192710,17,35,2,4,1676,Single,Bachelor,1
29,133834,662,133301,19,4,8,0,1196,Single,Master,0
75,108848,807,393439,9,12,4,0,4105,Divorced,PhD,0
39,67921,573,165829,4,28,8,4,2787,Single,High School,1
