,property_id,check_in_date,room_category,successful_bookings,capacity,occ_pct
0,16559,1-May-22,RT1,25,30.0,83.33333333333334
1,19562,1-May-22,RT1,28,30.0,93.33333333333333
2,19563,1-May-22,RT1,23,30.0,76.66666666666667
3,17558,1-May-22,RT1,30,19.0,157.89473684210526
4,16558,1-May-22,RT1,18,19.0,94.73684210526315
5,17560,1-May-22,RT1,28,40.0,70.0
6,19558,1-May-22,RT1,25,40.0,62.5
7,19560,1-May-22,RT1,23,26.0,88.46153846153845
8,17561,1-May-22,RT1,22,,
9,16560,1-May-22,RT1,24,34.0,70.58823529411765
10,16561,1-May-22,RT1,16,18.0,88.88888888888889
11,16562,1-May-22,RT1,20,31.0,64.51612903225806
12,16563,1-May-22,RT1,100,41.0,243.90243902439025
13,17559,1-May-22,RT1,26,32.0,81.25
14,17562,1-May-22,RT1,12,,
15,17563,1-May-22,RT1,21,25.0,84.0
16,18558,1-May-22,RT1,11,15.0,73.33333333333333
17,18559,1-May-22,RT1,29,42.0,69.04761904761905
18,18561,1-May-22,RT1,31,33.0,93.93939393939394
19,18562,1-May-22,RT1,34,38.0,89.47368421052632
20,18563,1-May-22,RT1,18,27.0,66.66666666666666
21,19559,1-May-22,RT1,18,24.0,75.0
22,19561,1-May-22,RT1,25,36.0,69.44444444444444
23,17564,1-May-22,RT1,9,16.0,56.25
24,19562,1-May-22,RT2,23,23.0,100.0
25,18563,1-May-22,RT2,21,29.0,72.41379310344827
26,17561,1-May-22,RT2,32,36.0,88.88888888888889
27,17558,1-May-22,RT2,38,50.0,76.0
28,16562,1-May-22,RT2,30,43.0,69.76744186046511
29,16561,1-May-22,RT2,24,24.0,100.0
30,16558,1-May-22,RT2,21,22.0,95.45454545454545
31,19560,1-May-22,RT2,37,38.0,97.36842105263158
32,16563,1-May-22,RT2,37,38.0,97.36842105263158
33,16559,1-May-22,RT2,35,41.0,85.36585365853658
34,19559,1-May-22,RT2,32,41.0,78.04878048780488
35,19558,1-May-22,RT2,25,39.0,64.1025641025641
36,17559,1-May-22,RT2,34,39.0,87.17948717948718
37,16560,1-May-22,RT2,25,34.0,73.52941176470588
38,18562,1-May-22,RT2,33,34.0,97.05882352941177
39,18559,1-May-22,RT2,29,44.0,65.9090909090909
40,17563,1-May-22,RT2,40,44.0,90.9090909090909
41,17562,1-May-22,RT2,19,30.0,63.33333333333333
42,18558,1-May-22,RT2,21,30.0,70.0
43,17564,1-May-22,RT2,25,40.0,62.5
44,18561,1-May-22,RT2,35,40.0,87.5
45,18560,1-May-22,RT2,34,40.0,85.0
46,17560,1-May-22,RT2,31,45.0,68.88888888888889
47,19561,1-May-22,RT2,35,45.0,77.77777777777779
48,19563,1-May-22,RT2,36,45.0,80.0
49,19563,1-May-22,RT3,20,29.0,68.96551724137932
50,18560,1-May-22,RT1,27,30.0,90.0
51,19562,1-May-22,RT3,25,29.0,86.20689655172413
52,19561,1-May-22,RT3,23,29.0,79.3103448275862
53,18562,1-May-22,RT3,28,29.0,96.55172413793103
54,17558,1-May-22,RT3,21,27.0,77.77777777777779
55,17562,1-May-22,RT3,15,27.0,55.55555555555556
56,19559,1-May-22,RT3,19,27.0,70.37037037037037
57,16559,1-May-22,RT3,27,32.0,84.375
58,17560,1-May-22,RT3,19,25.0,76.0
59,18561,1-May-22,RT3,23,25.0,92.0
60,16561,1-May-22,RT3,21,21.0,100.0
61,16563,1-May-22,RT3,17,20.0,85.0
62,17561,1-May-22,RT3,16,19.0,84.21052631578947
63,18558,1-May-22,RT3,18,26.0,69.23076923076923
64,18560,1-May-22,RT3,21,24.0,87.5
65,18563,1-May-22,RT3,16,23.0,69.56521739130434
66,19560,1-May-22,RT3,16,19.0,84.21052631578947
67,17564,1-May-22,RT3,16,24.0,66.66666666666666
68,16560,1-May-22,RT3,15,20.0,75.0
69,16558,1-May-22,RT3,8,8.0,100.0
70,19558,1-May-22,RT3,13,21.0,61.904761904761905
71,16562,1-May-22,RT3,14,18.0,77.77777777777779
72,17559,1-May-22,RT3,14,16.0,87.5
73,17563,1-May-22,RT3,14,16.0,87.5
74,18559,1-May-22,RT3,14,23.0,60.86956521739131
75,19559,1-May-22,RT4,2,3.0,66.66666666666666
76,16562,1-May-22,RT4,4,6.0,66.66666666666666
77,17558,1-May-22,RT4,4,6.0,66.66666666666666
78,17562,1-May-22,RT4,4,6.0,66.66666666666666
79,19563,1-May-22,RT4,4,6.0,66.66666666666666
80,19558,1-May-22,RT4,4,7.0,57.14285714285714
81,19561,1-May-22,RT4,5,7.0,71.42857142857143
82,16560,1-May-22,RT4,6,7.0,85.71428571428571
83,16561,1-May-22,RT4,9,10.0,90.0
84,17560,1-May-22,RT4,10,13.0,76.92307692307693
85,18561,1-May-22,RT4,8,9.0,88.88888888888889
86,17564,1-May-22,RT4,9,17.0,52.94117647058824
87,18560,1-May-22,RT4,14,15.0,93.33333333333333
88,19560,1-May-22,RT4,15,16.0,93.75
89,18559,1-May-22,RT4,11,19.0,57.89473684210527
90,17563,1-May-22,RT4,17,19.0,89.47368421052632
91,19562,1-May-22,RT4,13,14.0,92.85714285714286
92,17559,1-May-22,RT4,13,14.0,92.85714285714286
93,18558,1-May-22,RT4,14,20.0,70.0
94,18562,1-May-22,RT4,19,20.0,95.0
95,18563,1-May-22,RT4,13,18.0,72.22222222222221
96,16563,1-May-22,RT4,17,18.0,94.44444444444444
97,16559,1-May-22,RT4,17,18.0,94.44444444444444
98,17561,1-May-22,RT4,3,4.0,75.0
99,16558,1-May-22,RT4,3,3.0,100.0
